"location","peoNum","time","isHoliday","min_temp","max_temp","avg_temp","subjective_precipitation_category"
"BTSC",2,"2026-02-28T22:15:02.208Z",true,19,29,22.8,2
"DTSC",12,"2026-02-28T22:15:02.208Z",true,19.2,23.1,21,3
"JJSC",3,"2026-02-28T22:15:02.208Z",true,19.2,23.1,21,3
"NHSC",5,"2026-02-28T22:15:02.208Z",true,19,29,22.8,2
"SLSC",7,"2026-02-28T22:15:02.208Z",true,19,29,22.8,2
"SSSC",7,"2026-02-28T22:15:02.208Z",true,19,29,22.8,2
"WSSC",5,"2026-02-28T22:15:02.208Z",true,19.2,23.1,21,3
"ZSSC",4,"2026-02-28T22:15:02.208Z",true,19.2,23.1,21,3
"LKSC",8,"2026-02-28T22:15:02.208Z",true,19.2,23.1,21,3
"TYSC",2,"2026-02-28T22:15:02.208Z",true,19.3,24.5,21.3,3
"NGSC",11,"2026-02-28T22:15:02.208Z",true,19,29,22.8,2
"PQFN",0,"2026-02-28T22:15:02.208Z",true,19,29,22.8,2
"CMSC",13,"2026-02-28T22:15:02.208Z",true,18.6,25.7,21.3,3
"NTSC",8,"2026-02-28T22:15:02.208Z",true,18.6,25.7,21.3,3
"RFFN",0,"2026-02-28T22:15:02.208Z",true,19,29,22.8,2
"ZBSC",5,"2026-02-28T22:15:02.208Z",true,19.4,23.6,20.8,2
"BTSC",12,"2026-02-28T22:30:02.465Z",true,19,29,22.8,2
"DTSC",17,"2026-02-28T22:30:02.465Z",true,19.2,23.1,21,3
"JJSC",10,"2026-02-28T22:30:02.465Z",true,19.2,23.1,21,3
"NHSC",6,"2026-02-28T22:30:02.465Z",true,19,29,22.8,2
"SLSC",10,"2026-02-28T22:30:02.465Z",true,19,29,22.8,2
"SSSC",11,"2026-02-28T22:30:02.465Z",true,19,29,22.8,2
"WSSC",7,"2026-02-28T22:30:02.465Z",true,19.2,23.1,21,3
"ZSSC",5,"2026-02-28T22:30:02.465Z",true,19.2,23.1,21,3
"LKSC",11,"2026-02-28T22:30:02.465Z",true,19.2,23.1,21,3
"TYSC",5,"2026-02-28T22:30:02.465Z",true,19.3,24.5,21.3,3
"NGSC",13,"2026-02-28T22:30:02.465Z",true,19,29,22.8,2
"PQFN",0,"2026-02-28T22:30:02.465Z",true,19,29,22.8,2
"CMSC",12,"2026-02-28T22:30:02.465Z",true,18.6,25.7,21.3,3
"NTSC",10,"2026-02-28T22:30:02.465Z",true,18.6,25.7,21.3,3
"RFFN",0,"2026-02-28T22:30:02.465Z",true,19,29,22.8,2
"ZBSC",4,"2026-02-28T22:30:02.465Z",true,19.4,23.6,20.8,2
"BTSC",12,"2026-02-28T22:45:02.092Z",true,19,29,22.8,2
"DTSC",23,"2026-02-28T22:45:02.092Z",true,19.2,23.1,21,3
"JJSC",11,"2026-02-28T22:45:02.092Z",true,19.2,23.1,21,3
"NHSC",9,"2026-02-28T22:45:02.092Z",true,19,29,22.8,2
"SLSC",13,"2026-02-28T22:45:02.092Z",true,19,29,22.8,2
"SSSC",16,"2026-02-28T22:45:02.092Z",true,19,29,22.8,2
"WSSC",7,"2026-02-28T22:45:02.092Z",true,19.2,23.1,21,3
"ZSSC",6,"2026-02-28T22:45:02.092Z",true,19.2,23.1,21,3
"LKSC",12,"2026-02-28T22:45:02.092Z",true,19.2,23.1,21,3
"TYSC",7,"2026-02-28T22:45:02.092Z",true,19.3,24.5,21.3,3
"NGSC",19,"2026-02-28T22:45:02.092Z",true,19,29,22.8,2
